1 input_baseline.asc: UAV Cruise and Target Attack ' UAV ' Apr 20 2022 23:45:25
  0  0 48
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
range_go        STBG1           STBG2           STBG3           time_go         
psisbx          thtsbx          mtargeting      
1676.81         5.80078         90              0               1.89408         
0               15              -60.0359        -60.4678        -60.0359        
0.854133        2.92129         1.90442         2.21817         -1              
-1.66138        1.23972         7000            23139.5         0               
0               0               0               0               0               
0               0               0               
7.8             -1.52866        -16.2621        -9.32113        10535.2         
0.605106        14.7162         35.4037         6992.58         188.901         
54.925          0.351774        411.13          1450.07         7.4157          
108.55          154.594         -1.15977        6               133.679         
1676.82         5.81466         90              0               1.8882          
0               15              -60.2272        -60.656         -60.2272        
0.87037         2.92589         1.94586         2.23273         -1              
-1.6597         1.15977         7000            23109.1         0               
0               0               0               0               0               
0               0               0               
8               -1.51188        -16.2459        -9.24028        10501           
0.604132        14.7165         35.4039         6992.81         188.597         
53.9397         0.32314         433.086         1480.77         7.19311         
111.013         152.459         -1.06366        6               133.68          
1676.83         5.82844         90              0               1.88241         
0               15              -60.4171        -60.8425        -60.4171        
0.888235        2.93043         1.98807         2.25181         -1              
-1.65804        1.06366         7000            23078.3         0               
0               0               0               0               0               
0               0               0               
8.2             -1.49539        -16.2297        -9.16049        10467.3         
0.603172        14.7169         35.4041         6993.01         188.298         
52.9539         0.289557        455.532         1511.05         6.99133         
113.44          150.288         -0.951601       6               133.68          
1676.84         5.84212         90              0               1.87672         
0               15              -60.6054        -61.0271        -60.6054        
0.90795         2.93491         2.03135         2.27565         -1              
-1.65639        0.951601        7000            23047.2         0               
0               0               0               0               0               
0               0               0               
8.4             -1.47918        -16.2137        -9.08181        10434.2         
0.602225        14.7172         35.4043         6993.19         188.003         
51.9674         0.251077        478.46          1540.89         6.81355         
115.829         148.081         -0.823849       6               133.68          
1676.85         5.85569         90              0               1.87111         
0               15              -60.792         -61.2097        -60.792         
0.929747        2.93934         2.076           2.30446         -1              
-1.65476        0.823849        7000            23015.9         0               
0               0               0               0               0               
0               0               0               
8.6             -1.46327        -16.1979        -9.00428        10401.7         
0.601293        14.7175         35.4045         6993.34         187.712         
50.9804         0.207754        501.861         1570.28         6.66286         
118.18          145.839         -0.680644       6               133.681         
1676.86         5.86913         90              0               1.86561         
0               15              -60.9767        -61.3903        -60.9767        
0.953869        2.9437          2.12239         2.33845         -1              
-1.65315        0.680644        7000            22984.2         0               
0               0               0               0               0               
0               0               0               
8.8             -1.44765        -16.1823        -8.92794        10369.8         
0.600375        14.7178         35.4047         6993.46         187.427         
49.9928         0.159647        525.729         1599.22         6.54233         
120.493         143.561         -0.522239       6               133.681         
1676.86         5.88245         90              0               1.8602          
0               15              -61.1596        -61.5686        -61.1596        
0.980567        2.948           2.17089         2.37786         -1              
-1.65155        0.522239        7000            22952.3         0               
0               0               0               0               0               
0               0               0               
9               -1.43233        -16.1669        -8.85282        10338.5         
0.599472        14.7181         35.4049         6993.55         187.146         
49.0047         0.106816        550.056         1627.7          6.45499         
122.767         141.25          -0.348892       6               133.681         
1676.87         5.89564         90              0               1.8549          
0               15              -61.3403        -61.7445        -61.3403        
1.01011         2.95223         2.22188         2.42288         -1              
-1.64998        0.348892        7000            22920.1         0               
0               0               0               0               0               
0               0               0               
9.2             -1.41733        -16.1517        -8.77897        10307.8         
0.598584        14.7185         35.4052         6993.6          186.869         
48.016          0.0493239       574.833         1655.72         6.40379         
125.001         138.906         -0.160869       6               133.681         
1676.88         5.90868         90              0               1.8497          
0               15              -61.5189        -61.918         -61.5189        
1.04276         2.95639         2.2758          2.47374         -1              
-1.64843        0.160869        7000            22887.7         0               
0               0               0               0               0               
0               0               0               
9.4             -1.40263        -16.1367        -8.70641        10277.7         
0.597711        14.7188         35.4054         6993.61         186.598         
47.0268         -0.0127611      600.054         1683.26         6.39163         
127.196         136.529         0.0415598       6               133.682         
1676.89         5.92157         90              0               1.8446          
0               15              -61.6951        -62.0889        -61.6951        
1.0788          2.96048         2.33309         2.53065         -1              
-1.6469         -0.0415598      7000            22855           0               
0               0               0               0               0               
0               0               0               
9.6             -1.38825        -16.1219        -8.63518        10248.3         
0.596854        14.7191         35.4056         6993.58         186.332         
46.0371         -0.0793697      625.709         1710.33         6.42138         
129.35          134.119         0.258118        6               133.682         
1676.89         5.9343          90              0               1.83962         
0               15              -61.8689        -62.2571        -61.8689        
1.11853         2.96449         2.39424         2.5938          -1              
-1.64539        -0.258118       7000            22822           0               
0               0               0               0               0               
0               0               0               
9.8             -1.37418        -16.1074        -8.56532        10219.5         
0.596013        14.7194         35.4059         6993.5          186.071         
45.0468         -0.150429       651.791         1736.91         6.49583         
131.464         131.679         0.488524        6               133.682         
1676.9          5.94687         90              0               1.83474         
0               15              -62.0402        -62.4224        -62.0402        
1.16224         2.96841         2.45974         2.66341         -1              
-1.64391        -0.488524       7000            22788.8         0               
0               0               0               0               0               
0               0               0               
10              -1.36044        -16.0932        -8.49686        10191.4         
0.595189        14.7196         35.4061         6993.38         185.815         
44.0561         -0.225863       678.291         1763            6.61772         
133.536         129.207         0.73249         6               133.683         
1676.91         5.95926         90              0               1.82998         
0               15              -62.2088        -62.5849        -62.2088        
1.21025         2.97226         2.53013         2.73968         -1              
-1.64246        -0.73249        7000            22755.4         0               
0               0               0               0               0               
0               0               0               
10.2            -1.34702        -16.0792        -8.42983        10164           
0.594381        14.7199         35.4063         6993.21         185.564         
